key;ID;speciesStrain;speciesStrainComp;genus;genusComp;species;speciesComp;strain;cultureNo;typeStrain;misclassified;gram;oxygen;substrate;genomeAccNo;usedAccNo;ncbiFTP_FAA
10;132679;Acetivibrio saccincola GGR1;acetivibriosaccincolaggr1;Acetivibrio;acetivibrio;Acetivibrio saccincola;acetivibriosaccincola;GGR1;DSM 101079|CECT 9155;yes;;;anaerobic;arabinose|casein|cellobiose|cellulose|citrate|fructose|galactitol|galactose|glucose|lactose|L-phenylalanine|lysine|mannose|ornithine|sorbitol|starch|sucrose|sulfate|tryptophan|urea|xylan|xylose;GCA_002969215|GCA_002844395|GCA_012728665|1677857.3|1677857.24|2775506833;GCA_002969215;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/969/215/GCA_002969215.1_ASM296921v1/GCA_002969215.1_ASM296921v1_protein.faa.gz
11;2827;Acetivibrio straminisolvens CSK1;acetivibriostraminisolvenscsk1;Acetivibrio;acetivibrio;Acetivibrio straminisolvens;acetivibriostraminisolvens;CSK1;DSM 16021|IAM 15070|JCM 21531|NBRC 103399;yes;;;anaerobic;casein|esculin;GCA_000521465|2772190653|BAVR00000000;GCA_000521465;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/465/GCA_000521465.1_ASM52146v1/GCA_000521465.1_ASM52146v1_protein.faa.gz
12;2729;Acetivibrio thermocellus DSM 1237;acetivibriothermocellusdsm1237;Acetivibrio;acetivibrio;Acetivibrio thermocellus;acetivibriothermocellus;DSM 1237;DSM 1237|ATCC 27405|JCM 9322|NCIMB 10682|CECT 593|IAM 13660|LMG 10435|NBRC 103400|NRRL B-4536|VPI 7372;yes;;;anaerobic;cellulose|fructose|glucose|mannitol|starch|sucrose;GCA_000015865|GCA_900215405|GCA_004803955|GCA_003514585|GCA_012719765|203119.11;GCA_000015865;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/865/GCA_000015865.1_ASM1586v1/GCA_000015865.1_ASM1586v1_protein.faa.gz
13;2728;Acetivibrio thermocellus LQ8;acetivibriothermocelluslq8;Acetivibrio;acetivibrio;Acetivibrio thermocellus;acetivibriothermocellus;LQ8;DSM 1313;no;;;anaerobic;cellobiose|cellulose|glucose;GCA_000184925|637887.3|650377924;GCA_000184925;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/925/GCA_000184925.1_ASM18492v1/GCA_000184925.1_ASM18492v1_protein.faa.gz
14;52692;Acetobacterium malicum MuME1;acetobacteriummalicummume1;Acetobacterium;acetobacterium;Acetobacterium malicum;acetobacteriummalicum;MuME1;;;;positive;anaerobic;;GCA_014284495;GCA_014284495;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/284/495/GCA_014284495.1_ASM1428449v1/GCA_014284495.1_ASM1428449v1_protein.faa.gz
15;132932;Acetobacterium tundrae Z-4493;acetobacteriumtundraez4493;Acetobacterium;acetobacterium;Acetobacterium tundrae;acetobacteriumtundrae;Z-4493;;;;positive;anaerobic;;GCA_014284395;GCA_014284395;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/284/395/GCA_014284395.1_ASM1428439v1/GCA_014284395.1_ASM1428439v1_protein.faa.gz
16;;Acetobacter oeni B13;acetobacteroenib13;Acetobacter;acetobacter;Acetobacter oeni;acetobacteroeni;B13;;;;negative;aerobic;glucose|glycerol|maltose|methanol;GCA_011516825;GCA_011516825;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/516/825/GCA_011516825.1_ASM1151682v1/GCA_011516825.1_ASM1151682v1_protein.faa.gz
17;;Acetobacter pomorum;acetobacterpomorum;Acetobacter;acetobacter;Acetobacter pomorum;acetobacterpomorum;;DSM 11825;yes;;negative;aerobic;2-dehydro-D-gluconate|acetate|D-fructose|D-gluconate|D-glucose|dihydroxyacetone|D-mannitol|D-ribose|D-xylose|ethanol|glycerol|lactate|maltose|methanol|propanol|sorbitol|sucrose;GCA_002456135|GCA_008689815|GCA_008689845|GCA_003391275|GCA_002738225|GCA_000755675|GCA_008689865|65959.12|65959.14|65959.11|65959.15|65959.13|65959.22|65959.21|65959.2|65959.23|65959.7;GCA_002456135;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/456/135/GCA_002456135.1_ASM245613v1/GCA_002456135.1_ASM245613v1_protein.faa.gz
18;21;Acetobacter senegalensis CWBI-B418;acetobactersenegalensiscwbib418;Acetobacter;acetobacter;Acetobacter senegalensis;acetobactersenegalensis;CWBI-B418;DSM 18889|LMG 23690;yes;;;obligate aerobic;ammonium|glycerol|maltose|methanol;GCA_001499615|GCA_001580995|GCA_009295745|GCA_002156945|446692.3;GCA_001499615;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/499/615/GCA_001499615.1_Acetobacter_senegalensis_108B/GCA_001499615.1_Acetobacter_senegalensis_108B_protein.faa.gz
19;17777;Acetomicrobium mobile NGA;acetomicrobiummobilenga;Acetomicrobium;acetomicrobium;Acetomicrobium mobile;acetomicrobiummobile;NGA;DSM 13181|ATCC BAA 54|JCM 12221;yes;;;anaerobic;2-oxoglutarate|arabinose|beta-d-glucose|butyrate|cellobiose|cellulose|citrate|dextrin|D-fructose|D-glucose|galactose|gelatin|gluconate|glutamate|glycerol|inulin|lactate|lactose|L-arginine|L-leucine|L-malate|L-phenylalanine|L-tartrate|malate|malonate|maltose|mannose|melibiose|myo-inositol|polygalacturonic acid|pyruvate|raffinose|rhamnose|ribitol|spectinomycin|starch|succinate|sucrose|tartrate|tryptone|xylan|xylose;891968.3|GCA_000266925|2509601011|CP003198;GCA_000266925;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/266/925/GCA_000266925.1_ASM26692v1/GCA_000266925.1_ASM26692v1_protein.faa.gz
20;17778;Acetomicrobium thermoterrenum RWcit2;acetomicrobiumthermoterrenumrwcit2;Acetomicrobium;acetomicrobium;Acetomicrobium thermoterrenum;acetomicrobiumthermoterrenum;RWcit2;DSM 13490|ACM 5076;yes;;;anaerobic;D-fructose|D-glucose|glycerol|L-tartrate|maltose|mannose|pyruvate;GCA_900107215|1120987.3|2544872.3|2599185146;GCA_900107215;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/107/215/GCA_900107215.1_IMG-taxon_2599185146_annotated_assembly/GCA_900107215.1_IMG-taxon_2599185146_annotated_assembly_protein.faa.gz
21;159212;Acholeplasma equirhinis N93;acholeplasmaequirhinisn93;Acholeplasma;acholeplasma;Acholeplasma equirhinis;acholeplasmaequirhinis;N93;DSM 106692|NCTC 14351|ATCC TSD-139;yes;;;facultative;arginine|glucose|urea;GCA_017052655|555393.3;GCA_017052655;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/052/655/GCA_017052655.1_ASM1705265v1/GCA_017052655.1_ASM1705265v1_protein.faa.gz
22;156530;Achromobacter aegrifaciens CCUG 62440;achromobacteraegrifaciensccug62440;Achromobacter;achromobacter;Achromobacter aegrifaciens;achromobacteraegrifaciens;CCUG 62440;CCUG 62440|LMG 26854;no;;;aerobic;adipate|arginine|decanoate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|gluconate|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;GCA_902859965|1287736.4|2900120893;GCA_902859965;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/859/965/GCA_902859965.1_LMG_26854/GCA_902859965.1_LMG_26854_protein.faa.gz
23;140509;Achromobacter agilis;achromobacteragilis;Achromobacter;achromobacter;Achromobacter agilis;achromobacteragilis;;LMG 3411|CCUG 62454;yes;;;aerobic;(R)-lactate|acetamide|adipate|citrate|decanoate|D-gluconate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|glucose|L-arabinose|L-arginine|L-malate|maltose|N-acetylglucosamine|nitrate|nitrite|norleucine|phenylacetate|sucrose|trehalose|tween 80;GCA_900496965|1353888.3|2882181859;GCA_900496965;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/496/965/GCA_900496965.1_LMG_3411T/GCA_900496965.1_LMG_3411T_protein.faa.gz
24;133323;Achromobacter aloeverae AVA-1;achromobacteraloeveraeava1;Achromobacter;achromobacter;Achromobacter aloeverae;achromobacteraloeverae;AVA-1;LMG 29108|NBRC 111463|PCU 352|TISTR 2383;yes;;;aerobic;adipate|arginine|citrate|decanoate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|glucose|L-arabinose|L-malate|maltose|N-acetylglucosamine|nitrate|phenylacetate|potassium gluconate|tryptophan|tween 20|tween 80;GCA_004121055|2881412998|1750518.3;GCA_004121055;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/121/055/GCA_004121055.1_ASM412105v1/GCA_004121055.1_ASM412105v1_protein.faa.gz
25;130142;Achromobacter animicus AU15230;achromobacteranimicusau15230;Achromobacter;achromobacter;Achromobacter animicus;achromobacteranimicus;AU15230;DSM 29601|CCUG 61966|LMG 26690;yes;;;aerobic;adipate|arginine|decanoate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|gluconate|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;1389935.3|GCA_902859585|2902242375;GCA_902859585;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/859/585/GCA_902859585.1_LMG_26690/GCA_902859585.1_LMG_26690_protein.faa.gz
26;156477;Achromobacter animicus CCUG 61965;achromobacteranimicusccug61965;Achromobacter;achromobacter;Achromobacter animicus;achromobacteranimicus;CCUG 61965;CCUG 61965|LMG 26689;no;;;aerobic;adipate|arginine|decanoate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|gluconate|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;GCA_902860025|1389935.4|2900094115;GCA_902860025;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/860/025/GCA_902860025.1_LMG_26689/GCA_902860025.1_LMG_26689_protein.faa.gz
27;156478;Achromobacter animicus CCUG 61967;achromobacteranimicusccug61967;Achromobacter;achromobacter;Achromobacter animicus;achromobacteranimicus;CCUG 61967;CCUG 61967|LMG 26691;no;;;aerobic;adipate|arginine|decanoate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|gluconate|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;GCA_902860125|1389935.5|2900137357;GCA_902860125;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/860/125/GCA_902860125.1_LMG_26691/GCA_902860125.1_LMG_26691_protein.faa.gz
28;156535;Achromobacter anxifer CCUG 62445;achromobacteranxiferccug62445;Achromobacter;achromobacter;Achromobacter anxifer;achromobacteranxifer;CCUG 62445;CCUG 62445|LMG 26858;no;;;aerobic;adipate|arginine|decanoate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|gluconate|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;GCA_902860145|1287737.3|2902253905;GCA_902860145;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/860/145/GCA_902860145.1_LMG_26858/GCA_902860145.1_LMG_26858_protein.faa.gz
29;140506;Achromobacter deleyi;achromobacterdeleyi;Achromobacter;achromobacter;Achromobacter deleyi;achromobacterdeleyi;;LMG 3458|CCUG 62433;yes;;;aerobic;(R)-lactate|acetamide|adipate|citrate|decanoate|D-gluconate|D-mannitol|D-mannose|esculin|gelatin|glucose|L-arabinose|L-arginine|L-malate|maltose|N-acetylglucosamine|nitrate|nitrite|norleucine|phenylacetate|sucrose|trehalose|tween 80;GCA_016127315|GCA_902859705|GCA_902860045|GCA_013116765|1353891.9|1353891.5|2918918174|1353891.7|GCA_902860135|1353891.6;GCA_016127315;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/127/315/GCA_016127315.1_ASM1612731v1/GCA_016127315.1_ASM1612731v1_protein.faa.gz
30;136807;Achromobacter denitrificans CIP 60.83;achromobacterdenitrificanscip6083;Achromobacter;achromobacter;Achromobacter denitrificans;achromobacterdenitrificans;CIP 60.83;CIP 60.83|CCUG 61949|LMG 1860|JCM 20672|IAM 12595;no;;;aerobic;adipate|arginine|decanoate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|gluconate|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;GCA_902859985|32002.37|CADIKP000000000;GCA_902859985;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/859/985/GCA_902859985.1_LMG_1860/GCA_902859985.1_LMG_1860_protein.faa.gz
31;156522;Achromobacter dolens CCUG 62422;achromobacterdolensccug62422;Achromobacter;achromobacter;Achromobacter dolens;achromobacterdolens;CCUG 62422;CCUG 62422|LMG 26841;no;;;aerobic;adipate|arginine|decanoate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|gluconate|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;GCA_902860115|1287738.7|2900142850;GCA_902860115;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/860/115/GCA_902860115.1_LMG_26841/GCA_902860115.1_LMG_26841_protein.faa.gz
32;156523;Achromobacter dolens CCUG 62423;achromobacterdolensccug62423;Achromobacter;achromobacter;Achromobacter dolens;achromobacterdolens;CCUG 62423;CCUG 62423|LMG 26842;no;;;aerobic;adipate|arginine|decanoate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|gluconate|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;GCA_902859975|1287738.6|2900106755;GCA_902859975;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/859/975/GCA_902859975.1_LMG_26842/GCA_902859975.1_LMG_26842_protein.faa.gz
33;152561;Achromobacter insolitus CCUG 47056;achromobacterinsolitusccug47056;Achromobacter;achromobacter;Achromobacter insolitus;achromobacterinsolitus;CCUG 47056;CCUG 47056|LMG 5997;no;;;aerobic;adipate|arginine|decanoate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|gluconate|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;GCA_902860175|217204.15;GCA_902860175;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/860/175/GCA_902860175.1_LMG_5997/GCA_902860175.1_LMG_5997_protein.faa.gz
34;152562;Achromobacter insolitus CCUG 47058;achromobacterinsolitusccug47058;Achromobacter;achromobacter;Achromobacter insolitus;achromobacterinsolitus;CCUG 47058;CCUG 47058|LMG 6000;no;;;aerobic;adipate|arginine|decanoate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|gluconate|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;GCA_902860165|217204.14;GCA_902860165;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/860/165/GCA_902860165.1_LMG_6000/GCA_902860165.1_LMG_6000_protein.faa.gz
35;152564;Achromobacter insolitus CCUG 47060;achromobacterinsolitusccug47060;Achromobacter;achromobacter;Achromobacter insolitus;achromobacterinsolitus;CCUG 47060;CCUG 47060|LMG 6001;no;;;aerobic;adipate|arginine|decanoate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|gluconate|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;GCA_902860205|217204.16;GCA_902860205;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/860/205/GCA_902860205.1_LMG_6001/GCA_902860205.1_LMG_6001_protein.faa.gz
36;322;Achromobacter insolitus DSM 23807;achromobacterinsolitusdsm23807;Achromobacter;achromobacter;Achromobacter insolitus;achromobacterinsolitus;DSM 23807;DSM 23807|CCUG 47057|LMG 6003|CIP 108202|API 201-3-84;yes;;;aerobic;(R)-mandelate|(S)-mandelic acid|2-aminobutyrate|2-aminopentanoic acid|2-dehydro-D-gluconate|3-aminobutyrate|3-hydroxybenzoate|3-hydroxybutyrate|4-hydroxybenzoate|4-oxopentanoate|5-aminovaleric acid|5-dehydro-D-gluconate|acetamide|acetate|aconitate|adipate|amygdalin|arbutin|azelaate|benzylamine|beta-alanine|betaine|butan-1-amine|butyrate|cellobiose|citrate|creatine|D-alanine|D-arabinose|D-arabitol|decanoate|D-fructose|D-fucose|D-glucose|D-lyxose|D-mannose|D-tagatose|D-tartrate|D-xylose|erythritol|esculin|ethanolamine|ethylamine|fructose|fumarate|galactitol|galactose|gamma-aminobutyric acid|gentiobiose|gluconate|glucosamine|glucose|glutaric acid|glycerate|glycerol|glycogen|glycolate|histamine|inulin|isobutyrate|isophthalate|isovalerate|itaconate|lactate|lactose|L-alanine|L-arabinose|L-arabitol|L-arginine|L-aspartate|L-cysteine|L-fucose|L-glutamate|L-histidine|L-isoleucine|L-leucine|L-lysine|L-norleucine|L-phenylalanine|L-proline|L-rhamnose|L-serine|L-sorbose|L-tartrate|L-threonine|L-tryptophan|L-tyrosine|L-valine|L-xylose|malate|malonate|maltose|mannitol|melezitose|melibiose|mesaconate|meso-tartrate|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|methylmalonic acid|myo-inositol|N-acetylglucosamine|nitrate|nitrite|nonanoate|octanoate|oxalate|pentan-1-amine|phenylacetate|phthalate|pimelate|propionate|putrescine|pyruvate|raffinose|ribitol|ribose|salicin|sarcosine|sebacic acid|sorbitol|spermine|starch|suberic acid|succinate|sucrose|terephthalate|trehalose|trigonelline|trimethoxybenzoate|tryptamine|turanose|tween 80|urea|valerate|xylitol|xylose;GCA_001971645|GCA_008245125|GCA_900637265|GCA_000783435|GCA_003293535|GCA_002209555|GCA_902859615|GCA_001639685|GCA_011063385|GCA_001707465|GCA_001641515|GCA_002311015|GCA_002322215|217204.6|217204.9|217204.12|217204.1|217204.5|217204.13|217204.17|217204.7|1631616.4|1848159.3|1945910.3|2847424120|2744054911|2839279574|2855745187|2855798354|2751185845|1945909.3|217204.3|GCA_904423855|2867913472;GCA_001971645;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/971/645/GCA_001971645.1_ASM197164v1/GCA_001971645.1_ASM197164v1_protein.faa.gz
37;156525;Achromobacter insuavis CCUG 62427;achromobacterinsuavisccug62427;Achromobacter;achromobacter;Achromobacter insuavis;achromobacterinsuavis;CCUG 62427;CCUG 62427|LMG 26846;no;;;aerobic;adipate|arginine|decanoate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|gluconate|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;GCA_902860075|1287735.16;GCA_902860075;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/860/075/GCA_902860075.1_LMG_26846/GCA_902860075.1_LMG_26846_protein.faa.gz
38;140507;Achromobacter kerstersii;achromobacterkerstersii;Achromobacter;achromobacter;Achromobacter kerstersii;achromobacterkerstersii;;CCUG 62449|LMG 3441;yes;;;aerobic;(R)-lactate|acetamide|adipate|citrate|decanoate|D-gluconate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|glucose|L-arabinose|L-arginine|L-malate|maltose|N-acetylglucosamine|nitrate|nitrite|norleucine|phenylacetate|sucrose|trehalose|tween 80;GCA_902859595|GCA_001298955|2921339674|1353890.3;GCA_902859595;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/859/595/GCA_902859595.1_LMG_3441/GCA_902859595.1_LMG_3441_protein.faa.gz
39;140854;Achromobacter marplatensis CCUG 56371;achromobactermarplatensisccug56371;Achromobacter;achromobacter;Achromobacter marplatensis;achromobactermarplatensis;CCUG 56371;CCUG 56371|CCM 7608|CECT 7342|LMG 26219;yes;;;aerobic;(S)-lactate|2-hydroxybutyrate|2-oxoglutarate|acetate|adipate|alpha-D-glucose|beta-hydroxybutyrate|citrate|decanoate|D-gluconate|D-malate|D-mannose|D-saccharate|gamma-aminobutyric acid|gelatin|glucose|glycine-proline|lactate|L-alanine|L-arabinose|L-histidine|L-malate|L-pyroglutamic acid|maltose|nitrate|phenylacetate;GCA_902859635|GCA_003315095|2770939588|470868.5|470868.6;GCA_902859635;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/859/635/GCA_902859635.1_LMG_26219/GCA_902859635.1_LMG_26219_protein.faa.gz
40;156473;Achromobacter mucicolens CCUG 61960;achromobactermucicolensccug61960;Achromobacter;achromobacter;Achromobacter mucicolens;achromobactermucicolens;CCUG 61960;CCUG 61960|LMG 26684;no;;;aerobic;adipate|arginine|decanoate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|gluconate|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;GCA_902860005|1389922.5;GCA_902860005;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/860/005/GCA_902860005.1_LMG_26684/GCA_902860005.1_LMG_26684_protein.faa.gz
